DateTime,Concentration,Diff,SgnDiff,SgnDiff1,SgnDiff2,SgnDiff3,Year,Month,DayWeek,Hour,Outlier,IsOutDiff,Concentration_Imput2,IndexLastMiss
2019-01-08 23:00:00,1.3,-0.30000000000000004,-1.0,-1.0,1.0,-1.0,2019,Jan,Tue,23,0,0,1.3,0
2019-01-09 00:00:00,1.2,-0.10000000000000009,-1.0,-1.0,1.0,1.0,2019,Jan,Wed,0,0,0,1.2,0
2019-01-09 01:00:00,1.1,-0.09999999999999987,-1.0,-1.0,-1.0,1.0,2019,Jan,Wed,1,0,0,1.1,0
2019-01-09 02:00:00,1.1,0.0,1.0,-1.0,1.0,1.0,2019,Jan,Wed,2,0,0,1.1,0
2019-01-09 03:00:00,1.1,0.0,1.0,-1.0,1.0,1.0,2019,Jan,Wed,3,0,0,1.1,0
2019-01-09 04:00:00,1.2,0.09999999999999987,1.0,-1.0,1.0,-1.0,2019,Jan,Wed,4,0,0,1.2,0
2019-01-09 05:00:00,1.4,0.19999999999999996,1.0,1.0,-1.0,1.0,2019,Jan,Wed,5,0,0,1.4,0
2019-01-09 06:00:00,1.2,-0.19999999999999996,-1.0,-1.0,-1.0,1.0,2019,Jan,Wed,6,0,0,1.2,0
2019-01-09 07:00:00,1.5,0.30000000000000004,1.0,1.0,-1.0,1.0,2019,Jan,Wed,7,0,0,1.5,0
2019-01-09 08:00:00,2.8,1.2999999999999998,1.0,1.0,1.0,1.0,2019,Jan,Wed,8,0,0,2.8,0
2019-01-09 09:00:00,3.1,0.30000000000000027,1.0,1.0,1.0,-1.0,2019,Jan,Wed,9,0,0,3.1,0
